nuisible,pages,group_words,exclusive_group_words,exclusive_group_pct,avg_intra_similarity_pct
acariens,6,471,6,1.2739,95.129
cafards,13,1338,113,8.4454,48.4732
chenille-processionnaire,6,488,12,2.459,95.232
depigeonnage,6,482,13,2.6971,95.0181
deratisation,11,1540,348,22.5974,49.5564
fourmis,6,476,6,1.2605,95.1022
frelon-asiatique,3,443,2,0.4515,95.0939
frelons,9,1131,90,7.9576,43.1518
guepes,10,1123,89,7.9252,43.6179
mouches,6,475,7,1.4737,95.0911
punaises-de-lit,13,1404,201,14.3162,46.8272
rats,6,1039,69,6.641,55.7899
souris,6,1034,61,5.8994,54.8491
xylophages,6,486,10,2.0576,95.2908
