page,total_words,exclusive_words,exclusive_pct
acariens-antony,427,0,0.0
acariens-chatenay-malabry,427,0,0.0
acariens-choisy-le-roi,425,0,0.0
acariens-orly,425,0,0.0
acariens-thiais,423,0,0.0
acariens-versailles,426,0,0.0
cafards-antony,539,30,5.5659
cafards-arcueil,588,0,0.0
cafards-cachan,581,22,3.7866
cafards-chatenay-malabry,599,0,0.0
cafards-choisy-le-roi,450,0,0.0
cafards-clamart,596,0,0.0
cafards-fresnes,557,21,3.7702
cafards-gentilly,590,0,0.0
cafards-le-kremlin-bicetre,591,0,0.0
cafards-lhay-les-roses,570,18,3.1579
cafards-orly,450,0,0.0
cafards-thiais,448,0,0.0
cafards-versailles,451,0,0.0
chenille-processionnaire-antony,443,0,0.0
chenille-processionnaire-chatenay-malabry,444,0,0.0
chenille-processionnaire-choisy-le-roi,441,0,0.0
chenille-processionnaire-orly,441,0,0.0
chenille-processionnaire-thiais,439,0,0.0
chenille-processionnaire-versailles,442,0,0.0
depigeonnage-antony,436,0,0.0
depigeonnage-chatenay-malabry,438,0,0.0
depigeonnage-choisy-le-roi,434,0,0.0
depigeonnage-orly,435,0,0.0
depigeonnage-thiais,433,0,0.0
depigeonnage-versailles,436,0,0.0
deratisation-antony,569,32,5.6239
deratisation-chatenay-malabry,767,5,0.6519
deratisation-chevilly-larue,567,35,6.1728
deratisation-choisy-le-roi,536,22,4.1045
deratisation-clamart,505,0,0.0
deratisation-orly,650,17,2.6154
deratisation-rungis,472,12,2.5424
deratisation-thiais,768,9,1.1719
deratisation-versailles,510,0,0.0
deratisation-villejuif,627,31,4.9442
deratisation-vitry-sur-seine,633,27,4.2654
fourmis-antony,431,0,0.0
fourmis-chatenay-malabry,432,0,0.0
fourmis-choisy-le-roi,429,0,0.0
fourmis-orly,429,0,0.0
fourmis-thiais,427,0,0.0
fourmis-versailles,430,0,0.0
frelon-asiatique-chatenay-malabry,426,0,0.0
frelon-asiatique-orly,423,0,0.0
frelon-asiatique-thiais,421,0,0.0
frelons-antony,549,35,6.3752
frelons-arcueil,332,0,0.0
frelons-choisy-le-roi,420,0,0.0
frelons-clamart,329,1,0.304
frelons-gentilly,335,0,0.0
frelons-le-kremlin-bicetre,330,1,0.303
frelons-orly,420,0,0.0
frelons-thiais,418,0,0.0
frelons-versailles,573,40,6.9808
guepes-antony,550,42,7.6364
guepes-arcueil,331,0,0.0
guepes-chatenay-malabry,424,0,0.0
guepes-choisy-le-roi,430,1,0.2326
guepes-clamart,327,0,0.0
guepes-gentilly,334,0,0.0
guepes-le-kremlin-bicetre,328,0,0.0
guepes-orly,421,0,0.0
guepes-thiais,419,0,0.0
guepes-versailles,535,28,5.2336
mouches-antony,430,0,0.0
mouches-chatenay-malabry,431,0,0.0
mouches-choisy-le-roi,428,0,0.0
mouches-orly,428,0,0.0
mouches-thiais,426,0,0.0
mouches-versailles,429,0,0.0
punaises-de-lit-antony,574,43,7.4913
punaises-de-lit-arcueil,587,0,0.0
punaises-de-lit-cachan,597,40,6.7002
punaises-de-lit-chatenay-malabry,598,0,0.0
punaises-de-lit-choisy-le-roi,421,0,0.0
punaises-de-lit-clamart,595,0,0.0
punaises-de-lit-fresnes,565,31,5.4867
punaises-de-lit-gentilly,590,0,0.0
punaises-de-lit-le-kremlin-bicetre,584,0,0.0
punaises-de-lit-lhay-les-roses,587,32,5.4514
punaises-de-lit-orly,421,0,0.0
punaises-de-lit-thiais,419,0,0.0
punaises-de-lit-versailles,423,0,0.0
rats-arcueil,587,0,0.0
rats-cachan,623,31,4.9759
rats-fresnes,572,21,3.6713
rats-gentilly,590,0,0.0
rats-le-kremlin-bicetre,584,0,0.0
rats-lhay-les-roses,562,13,2.3132
souris-arcueil,587,0,0.0
souris-cachan,585,18,3.0769
souris-fresnes,568,18,3.169
souris-gentilly,590,0,0.0
souris-le-kremlin-bicetre,584,0,0.0
souris-lhay-les-roses,571,15,2.627
xylophages-antony,442,0,0.0
xylophages-chatenay-malabry,442,0,0.0
xylophages-choisy-le-roi,440,0,0.0
xylophages-orly,440,0,0.0
xylophages-thiais,438,0,0.0
xylophages-versailles,441,0,0.0
