nuisible,pages,pairs,avg_internal_similarity_pct,median_internal_similarity_pct,avg_localized_content_pct,pairs_over_60_pct,pairs_over_80_pct,priority_pages
acariens,6,15,70.03,57.89,15.12,40.0,40.0,"acariens-antony, acariens-orly, acariens-thiais, acariens-versailles"
cafards,14,91,14.74,0.0,42.65,6.59,6.59,"cafards-arcueil, cafards-clamart, cafards-gentilly, cafards-orly, cafards-thiais"
chenille-processionnaire,6,15,69.84,57.39,15.15,40.0,40.0,"chenille-processionnaire-antony, chenille-processionnaire-orly, chenille-processionnaire-thiais, chenille-processionnaire-versailles"
depigeonnage,7,21,50.02,57.63,25.08,28.57,28.57,"depigeonnage-antony, depigeonnage-orly, depigeonnage-thiais, depigeonnage-versailles"
deratisation,11,55,20.69,14.91,39.26,7.27,1.82,"deratisation-clamart, deratisation-orly, deratisation-versailles, deratisation-chatenay-malabry, deratisation-thiais"
fourmis,6,15,69.49,57.14,15.39,40.0,40.0,"fourmis-antony, fourmis-orly, fourmis-thiais, fourmis-versailles"
frelon-asiatique,3,3,69.67,59.5,15.33,33.33,33.33,"frelon-asiatique-orly, frelon-asiatique-thiais"
frelons,10,45,6.44,0.0,46.87,2.22,0.0,"frelons-orly, frelons-thiais"
guepes,11,55,8.67,0.0,45.79,1.82,1.82,"guepes-orly, guepes-thiais"
mouches,6,15,69.49,57.14,15.39,40.0,40.0,"mouches-antony, mouches-orly, mouches-thiais, mouches-versailles"
punaises-de-lit,13,78,17.13,0.0,41.45,7.69,7.69,"punaises-de-lit-arcueil, punaises-de-lit-clamart, punaises-de-lit-gentilly, punaises-de-lit-orly, punaises-de-lit-thiais"
rats,8,28,12.88,5.24,41.79,3.57,3.57,"rats-arcueil, rats-gentilly"
souris,8,28,12.76,5.13,41.82,3.57,3.57,"souris-arcueil, souris-gentilly"
xylophages,6,15,70.03,57.89,15.12,40.0,40.0,"xylophages-antony, xylophages-orly, xylophages-thiais, xylophages-versailles"
