nuisible,page_a,page_b,common_pct,localized_pct,shared_units,units_a,units_b
cafards,cafards-arcueil,cafards-gentilly,90.82,4.59,89,98,98
punaises-de-lit,punaises-de-lit-arcueil,punaises-de-lit-gentilly,90.82,4.59,89,98,98
rats,rats-arcueil,rats-gentilly,90.82,4.59,89,98,98
souris,souris-arcueil,souris-gentilly,90.82,4.59,89,98,98
deratisation,deratisation-clamart,deratisation-versailles,90.22,4.89,83,92,92
cafards,cafards-orly,cafards-thiais,90.16,4.92,55,61,61
frelon-asiatique,frelon-asiatique-orly,frelon-asiatique-thiais,90.0,5.0,54,60,60
depigeonnage,depigeonnage-antony,depigeonnage-orly,89.66,5.17,52,58,58
depigeonnage,depigeonnage-antony,depigeonnage-thiais,89.66,5.17,52,58,58
depigeonnage,depigeonnage-orly,depigeonnage-thiais,89.66,5.17,52,58,58
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-orly,89.47,5.26,51,57,57
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-thiais,89.47,5.26,51,57,57
chenille-processionnaire,chenille-processionnaire-orly,chenille-processionnaire-thiais,89.47,5.26,51,57,57
acariens,acariens-antony,acariens-orly,89.29,5.36,50,56,56
acariens,acariens-antony,acariens-thiais,89.29,5.36,50,56,56
acariens,acariens-orly,acariens-thiais,89.29,5.36,50,56,56
guepes,guepes-orly,guepes-thiais,89.29,5.36,50,56,56
punaises-de-lit,punaises-de-lit-orly,punaises-de-lit-thiais,89.29,5.36,50,56,56
xylophages,xylophages-antony,xylophages-orly,89.29,5.36,50,56,56
xylophages,xylophages-antony,xylophages-thiais,89.29,5.36,50,56,56
xylophages,xylophages-orly,xylophages-thiais,89.29,5.36,50,56,56
fourmis,fourmis-antony,fourmis-orly,89.09,5.45,49,55,55
fourmis,fourmis-antony,fourmis-thiais,89.09,5.45,49,55,55
fourmis,fourmis-orly,fourmis-thiais,89.09,5.45,49,55,55
mouches,mouches-antony,mouches-orly,89.09,5.45,49,55,55
mouches,mouches-antony,mouches-thiais,89.09,5.45,49,55,55
mouches,mouches-orly,mouches-thiais,89.09,5.45,49,55,55
cafards,cafards-arcueil,cafards-clamart,88.78,5.61,87,98,98
punaises-de-lit,punaises-de-lit-arcueil,punaises-de-lit-clamart,88.78,5.61,87,98,98
cafards,cafards-orly,cafards-versailles,88.52,5.74,54,61,61
cafards,cafards-thiais,cafards-versailles,88.52,5.74,54,61,61
depigeonnage,depigeonnage-antony,depigeonnage-versailles,87.93,6.03,51,58,58
depigeonnage,depigeonnage-orly,depigeonnage-versailles,87.93,6.03,51,58,58
depigeonnage,depigeonnage-thiais,depigeonnage-versailles,87.93,6.03,51,58,58
cafards,cafards-clamart,cafards-gentilly,87.76,6.12,86,98,98
punaises-de-lit,punaises-de-lit-clamart,punaises-de-lit-gentilly,87.76,6.12,86,98,98
chenille-processionnaire,chenille-processionnaire-antony,chenille-processionnaire-versailles,87.72,6.14,50,57,57
chenille-processionnaire,chenille-processionnaire-orly,chenille-processionnaire-versailles,87.72,6.14,50,57,57
chenille-processionnaire,chenille-processionnaire-thiais,chenille-processionnaire-versailles,87.72,6.14,50,57,57
acariens,acariens-antony,acariens-versailles,87.5,6.25,49,56,56
acariens,acariens-orly,acariens-versailles,87.5,6.25,49,56,56
acariens,acariens-thiais,acariens-versailles,87.5,6.25,49,56,56
punaises-de-lit,punaises-de-lit-orly,punaises-de-lit-versailles,87.5,6.25,49,56,56
punaises-de-lit,punaises-de-lit-thiais,punaises-de-lit-versailles,87.5,6.25,49,56,56
xylophages,xylophages-antony,xylophages-versailles,87.5,6.25,49,56,56
xylophages,xylophages-orly,xylophages-versailles,87.5,6.25,49,56,56
xylophages,xylophages-thiais,xylophages-versailles,87.5,6.25,49,56,56
fourmis,fourmis-antony,fourmis-versailles,87.27,6.36,48,55,55
fourmis,fourmis-orly,fourmis-versailles,87.27,6.36,48,55,55
fourmis,fourmis-thiais,fourmis-versailles,87.27,6.36,48,55,55
mouches,mouches-antony,mouches-versailles,87.27,6.36,48,55,55
mouches,mouches-orly,mouches-versailles,87.27,6.36,48,55,55
mouches,mouches-thiais,mouches-versailles,87.27,6.36,48,55,55
frelons,frelons-orly,frelons-thiais,76.27,11.21,45,58,60
deratisation,deratisation-chatenay-malabry,deratisation-thiais,64.0,18.42,96,152,148
deratisation,deratisation-clamart,deratisation-orly,62.75,15.22,64,92,112
deratisation,deratisation-orly,deratisation-versailles,62.75,21.43,64,112,92
